Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
293,LeverkusenVSFSVMainz05_Home,1,6d54ba6a-93fa-4bc3-9e28-78c9478f1022,37a0a684-f28d-42ae-8484-0b8ed73b38c3,0.12131989800000001,1122,1165,2,25.917177,283.4548005227865,8,11,0,2,4,0,0,1,3,2,0,3,1,0,3,2,0,0,8,0,6,2,1,3,3,0,3,22,22,18,13,0.5555188003087441,2,20.09601950635996,22.791409854465726,1,29.20615
294,LeverkusenVSFSVMainz05_Home,1,8bf82747-9af4-4355-a2fd-0aa926f69c50,6e45cd54-ab88-4d5e-acb8-8f802d906a5d,0.067520162,1541,1571,2,28.746051999999995,231.71656802641027,6,6,0,0,5,0,0,0,1,5,1,0,0,0,1,0,0,1,1,5,3,2,2,2,0,1,8,22,18,16,7,0.5465773222966759,1,22.703523955544878,15.22119600129837,1,36.527816666666666
295,LeverkusenVSFSVMainz05_Home,1,b5e4dcaf-2007-4435-9c52-8d97f8ad39e4,35d513d3-7ab5-4994-821b-b24e5f98e5f2,0.389940555,1706,1739,2,28.341159999999995,234.5011322586264,6,10,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,5,3,2,4,23,22,18,13,12,0.499340837643241,1,12.20040982918197,32.66168108888429,1,40.82855
296,LeverkusenVSFSVMainz05_Home,1,5f4c33e9-db4a-470c-9da1-43380324cd19,e273ff0f-b745-407e-beae-1b8b7f741158,0.063507065,1743,1808,2,40.293662000999994,267.8702334897383,8,14,0,3,2,0,0,5,4,0,6,3,0,0,0,0,1,5,3,6,9,0,7,3,1,7,9,18,37,27,24,0.5122693165686473,1,33.11027030998086,14.127933477293254,1,43.752066666666664
297,LeverkusenVSFSVMainz05_Home,1,d0be8f04-8249-45de-95ab-bd5eded22cd7,0ac2cf44-51da-4879-84a3-05ff7a2dd324,0.035352517,2073,2155,1,57.14139300000001,469.5323857990851,9,24,0,3,1,0,9,0,0,0,17,4,0,7,14,5,1,9,1,1,0,4,5,1,0,0,2,22,39,34,21,0.5495675316034598,2,21.2513528981098,15.662321964939455,2,52.71178333333333
298,LeverkusenVSFSVMainz05_Home,1,548b3344-88bd-44e7-b78b-c569219ef1d0,a1c88ea6-a132-4014-87b1-f047116feb4b,0.04576154,2417,2482,1,46.02111699999999,379.6503158569611,10,21,0,0,4,0,0,1,0,1,1,0,0,0,0,7,11,7,12,7,3,6,3,2,0,0,16,22,26,20,21,0.5203252032520326,2,10.307764064044152,32.546179610169546,2,61.666266666666665
299,LeverkusenVSFSVMainz05_Home,1,14341980-96ef-414d-ab4e-7e3165c8ec75,5d6e984b-9aec-44c9-bdbe-cf5df5368c4e,0.051675532,2487,2544,1,49.29715500000001,395.10329211267344,10,17,0,0,0,4,1,2,3,1,3,7,1,1,3,4,6,9,7,2,0,0,1,3,0,0,10,22,32,23,17,0.5246240047183721,0,22.89650628371062,18.369625669027403,2,62.9912
300,LeverkusenVSFSVMainz05_Home,1,6316afa5-dea9-4f61-ad10-6b0b79fb079b,3cf8e8f6-d5a9-4447-8273-47b246a65117,0.0062867645,2581,2671,1,57.847627002,352.4558349931485,10,21,0,1,6,1,0,3,3,3,2,2,0,4,5,9,5,3,2,8,11,6,5,9,3,0,12,18,46,32,28,0.5117279524736249,2,34.9521100936696,13.251462170264388,2,67.06393333333334
301,LeverkusenVSFSVMainz05_Home,1,c77e6a91-92a0-4ba0-b9e8-a8e6c7a7b2b7,1288f33c-fb8f-4f8f-ac55-b3e11008fda4,0.02914501,3549,3599,1,44.53003300000002,401.27930668888195,10,17,0,3,0,0,3,0,0,3,7,14,4,3,4,1,1,0,1,2,0,1,3,1,0,0,11,22,22,17,14,0.5603735823882589,1,24.365549449991885,16.513635666788264,2,88.71943333333334
302,LeverkusenVSFreiburg_Away,0,0b7cd6e5-2ab6-46d0-b7d3-4e5b4a43513b,4b44e694-2724-427c-b1f5-d624189e9d04,0.085923634,24,72,1,41.928391002999994,388.91016918677684,9,17,1,0,3,0,11,1,3,7,2,0,2,4,1,4,0,1,1,1,0,3,0,3,0,1,6,22,23,22,14,0.5374946740519813,3,19.24811679100062,21.380350762535077,1,1.4292333333333334
303,LeverkusenVSFreiburg_Away,0,b1f1a7c4-1fe5-4e3b-b707-5225ba587c8a,55ca7722-fb37-4038-b763-d6409429d48d,0.025179192,308,408,1,91.96210999999998,636.4297340082977,10,32,0,1,3,3,0,5,4,0,5,26,24,4,3,3,1,0,3,4,3,0,8,1,0,0,9,19,38,29,31,0.5210902011680727,3,30.165211751287277,15.90744708467592,1,7.794816666666667
304,LeverkusenVSFreiburg_Away,0,902e7a01-074f-4009-b108-0334b666f618,364a4401-897f-40f5-b8f8-d098ed31ae78,0.008700319,1286,1364,1,89.71215600000001,520.9593813606702,10,24,0,1,0,0,0,0,2,0,4,5,8,5,12,14,11,0,6,3,3,5,0,0,0,0,2,18,34,29,24,0.5786736020806242,0,31.618349103012957,13.045866897395541,1,29.6642
305,LeverkusenVSFreiburg_Away,0,bd1c22a0-5af0-418f-b21c-5b5ff6918fa2,dc7fdf1d-20e9-48ec-bc8f-7b2b872243f2,0.0877793,1658,1668,1,12.376552,88.90059792595957,2,1,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,6,23,5,4,3,0.6551596139569414,2,14.796283317103654,31.57258522144095,1,36.80558333333333
306,LeverkusenVSFreiburg_Away,0,019e5bc7-ba5c-4df0-82e1-cc75e4afc92f,72c5e7f0-dcd9-42b2-af07-adb677333c4d,1.01218835,1720,1840,2,122.33550800300002,637.2830324549693,10,33,0,0,5,4,0,0,3,10,0,12,6,3,12,20,4,8,21,3,0,0,2,8,0,0,8,22,51,46,36,0.522148534399838,1,9.284934033152842,47.58218948433706,1,39.885466666666666
307,LeverkusenVSFreiburg_Away,0,1061e36c-f787-4847-9437-32806d995e37,3a633a20-8bad-4d42-b965-ed026050d469,0.23140866999999998,1959,2035,2,64.338249,496.36038828173406,9,21,0,1,7,0,0,5,2,2,4,14,6,0,2,0,4,12,0,1,0,0,0,8,4,3,8,22,40,32,24,0.5272123225611598,4,6.648308055437863,58.17029464311626,1,46.06406666666667
308,LeverkusenVSFreiburg_Away,0,3f830217-2ce9-405d-8208-11efa25c1dfd,80ae83a6-47cc-4302-929d-21bfaf8248ea,0.08283626699999999,2220,2294,2,63.972486102999994,499.0871233542655,11,21,0,2,6,0,0,3,2,1,0,8,4,4,0,2,11,14,1,6,5,0,0,1,4,0,8,19,35,28,20,0.5228609520821897,4,24.682990094394967,19.655596155065442,2,51.125733333333336
309,LeverkusenVSFreiburg_Away,0,0034dfb1-6265-41df-92a1-bb0ba058776a,7fa12192-ca82-490c-887f-738f51878df3,0.064399794,2336,2354,1,18.518333,177.59289408663673,7,6,0,3,1,0,0,6,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,3,3,23,7,8,3,0.7370353373106929,2,13.282319074619465,32.98772895729749,2,52.56896666666667
310,LeverkusenVSFreiburg_Away,0,c49a2fd5-b6e1-4a66-b0bb-030823e2395e,cf9775dc-624a-43dc-a3e6-f1d1c9faf513,0.05587428,2503,2566,1,47.693343002999995,335.84080539250317,9,19,2,1,2,0,2,6,1,0,3,16,3,0,2,5,0,2,0,0,3,8,0,4,3,1,2,22,26,20,16,0.5716469770674079,1,17.341568556506072,19.649452991353673,2,57.40575
311,LeverkusenVSFreiburg_Away,0,b639189a-d3da-4316-ba3a-a408ff911d73,cd4436bf-a1d0-477d-96d8-a88dbcb13ef3,0.360965914,3041,3182,3,127.42638699999998,870.7084889421453,10,38,11,10,6,0,4,7,2,2,7,5,10,3,6,18,9,9,6,0,6,1,6,0,10,3,10,23,57,46,43,0.5129774505292224,4,10.722406446316047,42.050304313481035,2,74.38475
312,LeverkusenVSFreiburg_Away,0,8504fc44-1916-4c83-8c82-0588d155fa48,75200d0d-101b-4e23-b13b-5b84903c5073,0.43475327,3442,3473,1,20.659049000000003,169.98822573671828,7,8,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,10,0,0,1,5,0,2,3,5,20,22,17,12,10,0.5233449477351917,1,6.067124524847005,70.52772915450083,2,81.8523
313,LeverkusenVSFreiburg_Away,0,1c25d248-19bf-4d0d-8809-120a0ff3eb5a,c46f38ec-cc7c-4a51-aa5a-026c89287428,0.087363208,3553,3647,2,93.263326,615.2197826746435,11,27,0,0,4,0,0,5,5,0,4,8,22,13,5,1,2,7,4,0,0,2,3,9,0,0,12,22,48,37,27,0.5188751337307046,7,17.90027932742951,27.050509228309437,2,87.33825
314,LeverkusenVSFreiburg_Away,0,70eff410-4678-4b29-8615-7667ab8a2c20,c77d9ccc-be7f-42ec-9cd4-e05546c6985d,0.05880406,3733,3749,1,18.175215,140.99824907369413,5,5,0,1,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,3,2,10,23,5,7,3,0.6153846153846154,3,11.142710621747302,40.29703611167925,2,89.77863333333333
315,LeverkusenVSFreiburg_Home,1,f22266fd-345a-4d52-8390-69c13ff3df92,f313c992-04cf-4ac8-9bab-46a71fb7d6f0,0.05218258,243,270,1,33.30262700000001,202.0120417298639,7,8,0,0,1,0,3,0,2,0,6,4,2,0,0,3,2,1,2,1,0,0,0,1,0,0,10,22,15,11,6,0.6026916325336454,2,13.755726080436467,19.19530813332473,1,6.523333333333333
316,LeverkusenVSFreiburg_Home,1,e5084146-9d0d-4118-9547-119e59d783ab,18308cce-f6f5-4415-a083-fe0e844c1235,0.007893321,511,529,1,15.870607000000001,93.88983133294042,6,4,3,0,0,0,0,0,0,0,1,1,3,0,3,0,2,1,0,0,0,1,0,0,0,4,9,24,10,7,6,0.5522257273045916,0,23.64571842850202,3.1003453024601297,1,14.062233333333333
317,LeverkusenVSFreiburg_Home,1,c739c650-2b62-4b07-84f4-406ed443109a,b53c43a8-8041-4bda-a4eb-df03c8be4bb4,0.015882464,631,647,1,11.788624,83.23932838478659,3,3,0,0,4,0,0,0,1,0,0,0,0,0,3,0,0,0,2,3,0,0,1,3,0,0,13,18,7,8,2,0.5225840336134454,2,31.084562084739105,14.275093975951698,1,15.750283333333334
318,LeverkusenVSFreiburg_Home,1,1d46cf14-436d-4645-b4c2-ac1ee76f3aed,cf141423-a3da-4870-b146-d0c8cf4d3731,0.039436143,730,792,1,61.628777002999996,322.6334243248474,9,18,0,1,0,0,0,3,0,0,7,0,1,1,3,9,14,9,0,4,3,0,0,5,3,0,9,22,27,19,19,0.5430654459138691,1,22.46619682990426,19.236011363049883,1,18.879933333333334
319,LeverkusenVSFreiburg_Home,1,f8fe0785-2ca0-41e9-b2b6-000ccd504061,96f28756-254c-4789-a3f6-535b63c3f427,0.14380059,798,835,1,34.14055,268.3505504043207,8,10,0,4,7,0,0,2,4,0,0,1,0,1,5,0,0,0,1,3,0,0,1,5,2,0,7,23,23,14,13,0.5293356047700171,1,6.592419889539799,64.62184378931754,1,20.5998
320,LeverkusenVSFreiburg_Home,1,979bce09-62d8-4fa7-be93-b3bac4a35d6a,2c4af770-d7d9-4899-bd05-16791a397611,0.02354686,925,1003,1,70.39365000000002,445.83994311390177,11,24,0,0,0,1,0,6,5,2,0,13,2,1,1,5,9,2,11,0,7,0,11,3,0,0,11,19,35,27,22,0.5177502579979361,3,29.06888370749727,16.485065652733955,1,24.442283333333332
321,LeverkusenVSFreiburg_Home,1,e9d3a1c6-d630-4f3d-b52f-6a3dc3fb97f8,c4f77a3b-0c49-4a4d-a2cf-c513e461202d,0.12416381,1079,1099,1,16.794154999999996,135.92118798256905,6,5,0,3,2,0,0,4,0,0,0,1,3,0,0,0,2,0,0,0,5,0,0,1,0,0,3,22,10,10,4,0.6228989037758831,1,17.682194433949643,26.59644317057747,1,26.990716666666668
322,LeverkusenVSFreiburg_Home,1,e877d7f3-6505-4d08-b4d5-f82ab8c3ec6d,82b8adce-19f5-4da4-980a-71794c64ad06,0.107531756,1331,1424,1,86.85753100000001,566.349211408549,10,24,0,3,0,0,5,1,2,0,3,3,1,1,8,5,9,9,3,6,6,21,0,0,8,0,13,23,42,32,28,0.5148927306811081,3,12.671621837791715,35.12066612368774,1,34.26023333333333
323,LeverkusenVSFreiburg_Home,1,12b0d458-1b39-41dd-aaac-a5c99f79e931,9bef027c-52ef-4454-8e84-b327e8efbae6,0.07542497,1444,1481,1,40.278756,207.35177129739245,6,10,1,2,0,0,0,0,0,0,0,0,2,2,0,0,12,7,0,0,0,7,0,0,3,2,12,23,14,15,8,0.5886319845857418,2,14.117365193264646,20.624980300232934,1,35.954233333333335
324,LeverkusenVSFreiburg_Home,1,e99d627f-e66e-4177-9c42-3b426364602c,aa53a266-cb8a-4f39-9bc8-2dee4359aace,0.023462128,1487,1592,1,97.130316003,716.65508345971,10,35,0,0,4,1,1,5,1,0,4,0,6,2,4,14,15,10,21,5,8,2,1,1,1,0,9,23,42,35,30,0.528090861799896,2,21.160340261914502,14.187332772773393,1,39.28588333333333
325,LeverkusenVSFreiburg_Home,1,836423cc-0eda-4db1-a100-07e1790c1bcb,3e827831-5306-4598-ada2-b534080c8d95,0.1891779,1815,1872,1,36.266572003,244.63873277590153,8,15,0,0,9,0,0,0,0,0,0,3,0,1,6,10,0,0,9,5,0,0,3,10,0,0,13,22,27,19,19,0.5123574770974758,3,4.661544808322665,84.4334857847634,1,44.914633333333335
326,LeverkusenVSFreiburg_Home,1,b618df8a-6b06-457d-af36-28fae7ca9c46,a187eb0e-1306-4e33-aa6d-d21cd667bcd9,0.09521932,2066,2131,1,64.334598003,491.8874718545537,11,21,0,3,2,0,0,0,1,5,5,5,6,3,5,5,9,9,4,0,0,3,0,1,0,0,2,22,27,27,11,0.5949074074074073,1,19.887936041731432,20.881192620035353,2,49.38303333333333
327,LeverkusenVSFreiburg_Home,1,a5a83f87-2ee0-4ac1-9fa8-ac8ec64356d1,a5a83f87-2ee0-4ac1-9fa8-ac8ec64356d1,0.0049094576,2581,2581,1,2.025498,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,,0,62.670008776128306,7.815077569837631,2,58.91036666666667
328,LeverkusenVSFreiburg_Home,1,e2be8cf0-ff95-403e-98b6-9cdc76ad05d5,e2be8cf0-ff95-403e-98b6-9cdc76ad05d5,0.08828274,2609,2609,1,0.913457,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,19,0,0,0,,3,21.46671842643864,22.143897643498764,2,59.86145
329,LeverkusenVSFreiburg_Home,1,0a50d7fa-da0f-4e7c-a56b-f11e159f2ec9,2d984b59-eb39-43fb-a22b-77bd284c5a51,0.2986823,2812,2823,1,11.421211,86.8764836304518,3,2,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,3,0,0,9,22,4,5,1,0.6710719530102791,2,12.02081528017131,33.55166106739684,2,65.52626666666667
330,LeverkusenVSFreiburg_Home,1,6b82361c-488c-47fe-b46f-d7dfccf5bbd0,ab16b58d-83f4-44e6-a518-1d32f91feb94,0.048938446,3088,3098,1,13.623384999999999,52.16297067328496,2,1,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,1,0,3,0,0,0,0,0,0,9,18,6,4,3,0.6917599186164801,2,23.837994882120434,20.21127252998215,2,73.31396666666666
331,LeverkusenVSFreiburg_Home,1,f483a064-58af-4ec4-b768-2744c218e932,896b55ba-c778-453f-9091-050e6e991543,0.05474969,3277,3370,1,80.612559,566.5729270338925,10,27,0,0,5,0,2,8,7,1,8,14,10,2,14,5,1,6,1,1,0,3,0,6,0,0,9,22,39,28,27,0.5257125469114514,1,16.0701586799882,23.14756494836827,2,79.15388333333334
332,LeverkusenVSHoffenheim_Away,0,bc5cf701-66a0-4bbf-a349-b178a8999ebb,953250cd-ee87-42f7-8410-b94cce63746a,0.4335934,383,409,1,22.621005,126.54426478326039,5,7,0,0,0,2,0,0,0,2,4,0,1,0,6,2,0,0,4,0,0,0,3,3,0,0,9,22,13,9,9,0.5562180579216355,1,8.800568163476717,46.06613595716653,1,8.248833333333334
333,LeverkusenVSHoffenheim_Away,0,44e48928-bcd2-425d-bcd2-88b4b3e10764,d6277188-5e56-4821-865a-2136185eb9f8,0.07854628,423,435,1,4.148787,25.993677796101025,4,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,7,0,0,0,0,0,16,19,6,8,3,0.5484004985459078,3,21.602083232873625,22.543764667621225,1,9.5698
334,LeverkusenVSHoffenheim_Away,0,89aae71e-0195-4011-b31e-746a31a8e5f1,631cf4bd-c0e8-4b19-85ce-fc7f184eee53,0.08007127,1070,1115,1,47.225670002,355.13267587134084,7,13,0,1,1,1,0,1,0,1,1,2,12,3,2,1,3,4,1,0,0,3,4,1,3,1,6,23,27,20,15,0.5311645450259311,2,19.84036289990685,23.788150791656246,1,24.83935
335,LeverkusenVSHoffenheim_Away,0,e247a33d-7255-4f8f-b6d1-48f2b49cb559,81905e1f-9d11-4e12-990c-7be299366738,0.10737679,1605,1615,1,14.024607,117.73755001692908,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,23,7,4,3,0.5884103641456583,0,12.621014222319854,17.6491201394162,1,35.76853333333333
336,LeverkusenVSHoffenheim_Away,0,528c2a96-74fb-491f-89c7-e1eb61b46a8e,fd1186a7-df5c-4277-aa7a-7df6fd9a2316,0.103665197,1932,2025,2,94.879027003,645.6730297186573,11,30,0,3,3,0,0,0,1,0,12,12,10,4,7,7,18,2,0,1,2,3,0,2,6,0,3,22,46,41,27,0.5346752969627996,4,16.966437457521835,26.364325187223965,1,45.57921666666667
337,LeverkusenVSHoffenheim_Away,0,314fc629-dbd3-4934-94c6-c591e358dbff,57d99d32-c214-4913-861d-a26ce3ed0515,0.022710646,2846,2878,1,27.908659000000004,226.8972272942027,7,10,1,2,0,0,0,2,0,0,0,0,4,3,0,0,1,3,0,3,0,6,0,0,2,5,6,18,12,9,10,0.562468640240843,1,32.088003989029914,14.699225775317187,2,66.93656666666666
338,LeverkusenVSHoffenheim_Away,0,43672ac5-0101-457e-a459-fd4511a635ba,9513a7b0-9dd0-43cc-9499-20e3b3302880,0.364087294,2912,2960,2,61.513729,336.10176923788606,8,14,0,1,4,2,0,1,0,1,0,3,1,2,6,3,2,1,6,3,0,0,3,10,0,0,2,22,25,23,8,0.5512251795521758,3,18.236227680087786,24.9955576059853,2,69.31333333333333
339,LeverkusenVSHoffenheim_Away,0,2e62b86d-9b63-4229-b9f6-e29024ac4376,9d5137d9-51a4-44c0-940c-5203631ece00,0.08442526,3586,3590,1,15.636724999999998,102.3775805946101,2,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,22,3,2,1,0.9258911819887431,0,19.125375813301027,19.52702048175682,2,86.6206
340,LeverkusenVSHoffenheim_Home,1,dc8782f0-fbfc-41b6-947c-59fd533c0c65,1e2f09a8-5910-4eaf-866f-30aad5133736,0.040825125,259,267,1,4.957853,38.27317101702195,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,0,0,0,0,0,0,13,18,2,5,0,1.0,4,26.5228203628498,18.427819180322743,1,5.401816666666667
341,LeverkusenVSHoffenheim_Home,1,ddc83fa0-fb65-4d37-8d38-e59b9dfb7d21,cd0f82f1-747b-4983-aed4-498be4dd3664,0.12005351,515,560,1,35.034161,235.49926002980288,7,13,0,0,0,0,0,0,2,1,2,2,0,0,11,4,6,0,6,6,0,0,2,4,0,0,13,22,16,18,12,0.522230595327807,3,19.828262657126565,24.254686819011344,1,10.594066666666667
342,LeverkusenVSHoffenheim_Home,1,44f191cc-5862-4181-b9ce-fa5909f30379,bef67677-64d1-4723-af64-80268dc1b12f,0.026810719,843,863,1,17.042206999999998,98.500231249678,5,7,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,6,6,1,0,0,0,0,0,17,18,7,6,5,0.4954545454545455,4,29.310919466983627,16.70849202571416,1,16.920016666666665
343,LeverkusenVSHoffenheim_Home,1,7880f03f-39e3-42d7-8e08-93b528d444f4,83f39a67-a78f-4499-8f09-9e792a3a0b71,0.038797267,867,870,1,3.293005,18.061285,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,18,18,3,2,1,0.5407894736842106,2,24.043502240730238,18.70567820130923,1,17.49195
344,LeverkusenVSHoffenheim_Home,1,c2f395d9-3c92-4154-a54d-66e551eb8171,eb75f75c-a790-4f2a-87da-fa577e1324be,0.009383234,876,925,1,38.717741000000004,275.1733693196542,8,15,0,3,0,0,0,3,3,1,1,0,4,0,6,3,7,6,3,1,2,3,0,0,4,0,11,23,25,19,17,0.5351076490316996,2,21.40840956259946,11.726328663561647,1,19.230116666666667
345,LeverkusenVSHoffenheim_Home,1,b22a05bb-7bca-4d40-b51c-63dec8015de7,c39c631c-8de7-4ff2-bee6-f34058aaf3a7,0.018815912,1596,1689,1,90.98849499999999,687.0253899303406,9,28,0,0,1,0,1,3,2,0,0,0,3,0,10,16,12,4,8,6,7,16,2,0,1,2,15,19,42,32,30,0.5191589283808304,3,26.922295593058177,16.375893646876893,1,35.2706
346,LeverkusenVSHoffenheim_Home,1,2044ddc0-90d9-48cd-bfcf-e8d225c3e44b,862826f6-b16c-45fb-aaa2-2477d8f7e934,0.041791263999999995,1855,1918,2,65.87592000000001,454.24917836913704,10,19,0,3,7,2,0,3,0,0,0,0,0,0,0,2,0,1,9,7,9,3,3,6,5,3,3,17,35,27,21,0.5281665294601905,1,32.05448486561592,10.540553640895396,1,41.64875
347,LeverkusenVSHoffenheim_Home,1,501acb6c-0849-4bed-912e-ab4610b5b579,62bf25d1-e582-46e7-a329-a86608970a61,0.12434759,1957,1978,1,22.849779999999996,152.22718310067182,6,7,0,0,1,0,2,1,5,0,0,0,0,0,3,4,0,0,0,1,3,0,0,0,2,0,3,23,11,11,4,0.6564795768439612,0,16.200308639035242,19.08617594285213,1,43.220283333333334
348,LeverkusenVSHoffenheim_Home,1,e00bdae8-f038-4591-abb4-cb5475b59639,7760ad27-d6fe-4cde-a652-5cc150d56bda,0.307030345,2000,2083,2,74.66802599999998,587.4460845031498,10,26,1,2,2,0,2,0,0,1,1,4,3,4,3,6,6,12,10,0,0,7,3,5,8,3,9,22,38,35,23,0.5287408414532818,0,8.79204185613331,23.026633699945684,1,46.598683333333334
349,LeverkusenVSHoffenheim_Home,1,ffc38f11-baa3-4c0f-a295-9d1ba06218a8,4955df44-24b9-4a6a-9224-7021c393799d,0.026392784,2272,2360,1,82.06388500000001,564.4817195995674,11,28,0,10,1,1,2,3,0,1,1,1,0,2,3,0,6,7,15,9,16,3,5,0,3,0,2,19,28,30,27,0.5436327006680098,3,25.886096654381863,16.56198666582827,2,49.44585
350,LeverkusenVSHoffenheim_Home,1,9f87daa3-46c6-4c28-989d-3118a5696f2e,6e21e485-865b-4848-80d0-dc9e9b1ec8bd,0.057205044,2394,2447,1,47.11603699999999,246.70526395374168,8,13,0,0,0,4,0,0,1,6,0,0,3,5,2,2,0,0,20,0,0,0,7,4,0,0,12,22,26,25,14,0.5210694565533275,2,14.143903280212289,33.21457262568548,2,51.60406666666667
351,LeverkusenVSHoffenheim_Home,1,b28c5ef8-249c-4de7-9b27-46095fac61e0,e1cc2311-551d-4dd0-8a4e-8e7735ab0ce3,0.10582208200000001,2527,2561,2,30.183448999999996,255.0587943018017,6,8,2,5,2,0,0,1,1,2,0,0,0,1,0,0,0,2,0,0,1,3,0,1,3,9,3,23,21,15,12,0.5385490291656512,0,10.373041983911946,39.746681545822334,2,54.64933333333333
352,LeverkusenVSHoffenheim_Home,1,45875581-d54b-435c-a4c2-ed98908163de,7c86cca4-ab79-44d3-8f54-2aa84812afa8,0.022225993,2595,2610,1,13.351828,119.30463113350407,4,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,1,3,17,18,8,6,5,0.5092130518234165,2,29.482367611845557,14.746430166664835,2,57.655
353,LeverkusenVSHoffenheim_Home,1,98e4b110-93f1-4384-9419-ae1179cd7e83,3b387462-3766-4105-9b4e-d1bd60cf38ce,0.140563031,2791,2856,3,51.746733,400.76517474811936,9,16,0,5,6,0,0,0,1,2,0,0,3,0,0,0,1,0,3,11,10,5,0,4,10,3,8,18,36,24,24,0.5143760497974509,1,28.86173937932362,15.709044711052782,2,64.62096666666667
354,LeverkusenVSHoffenheim_Home,1,62b6d3db-4b64-44cd-8d42-6c0638df57aa,3434b937-c60c-46ab-924a-eb21105b8103,0.161399135,2936,3100,2,155.364155,963.2240124486464,10,45,8,5,4,0,4,5,1,2,2,0,4,4,0,7,1,5,22,27,21,3,8,8,10,13,1,23,74,70,44,0.5134166214014123,1,12.030378215168462,19.884918876979118,2,70.1918
355,LeverkusenVSHoffenheim_Home,1,0c7a857c-a2df-4c95-bac3-532f76c9dd0a,1ef0d25a-3c15-42d4-acb0-cf20bdaf60dd,0.14845592,3159,3196,1,30.337978,263.03801458227736,7,12,0,0,1,0,0,2,3,0,3,0,0,3,11,1,0,0,2,4,1,0,2,1,4,0,6,23,21,14,12,0.5712098009188361,4,13.094273557551789,35.14349552962757,2,73.81486666666666
356,LeverkusenVSHoffenheim_Home,1,d556aae7-7647-4c27-8aa4-f5ccbd034b09,fe992eb5-1349-4d71-a482-d02f3b634add,0.216396804,3201,3265,3,52.918495000000014,384.8148182281076,9,18,0,1,9,0,2,1,2,0,1,0,0,1,0,4,0,3,10,6,1,2,3,9,6,3,9,23,30,24,22,0.518667397527255,4,17.140595088852667,26.877404689014043,2,75.77833333333334
357,LeverkusenVSHoffenheim_Home,1,8cc67067-433f-47e4-a1b0-8e0f4fc89d61,460a2e45-e8e5-44d8-bdf5-c730d37d70e5,0.07961481,3293,3339,2,37.55876100299999,259.5502052677282,10,11,1,5,0,0,2,1,1,0,0,1,0,0,0,3,8,0,0,0,9,8,0,0,6,1,20,19,27,17,18,0.5027518896308799,6,27.262428358456994,17.169256310823485,2,78.718
358,LeverkusenVSHoffenheim_Home,1,6f5928b5-bad3-4014-98d6-006ba88865ae,2b79bced-a457-4c14-afb5-199208c5713b,0.047049444,3414,3430,1,14.763984999999998,150.43279964263172,5,4,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,5,0,2,22,7,8,2,0.6708575112830432,0,14.45060552364502,15.433605885670787,2,81.21424999999999
359,LeverkusenVSHoffenheim_Home,1,1fcd33a5-438c-48ea-9403-94882983b76d,5fe74887-9a88-4bea-86dc-67281792c220,0.08243443,3438,3455,1,15.570996,125.31592050978955,6,6,0,1,0,0,0,0,0,0,0,1,1,0,2,7,0,0,3,0,0,0,1,2,0,0,10,22,8,6,5,0.593421052631579,3,10.60235822824337,41.371122148742906,2,82.00319999999999
