Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
246,LeverkusenVSFCHeidenheim_Home,1,4d169b29-d271-42b3-bf7f-70dca093dbbe,8a642456-d2aa-490c-90df-e2102b211f87,0.16586962,1767,1775,1,5.018160000000001,37.49797105598914,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,24,22,4,1,4,0.5030832476875642,2,15.487091398968365,30.768115375360505,1,38.35475
247,LeverkusenVSFCHeidenheim_Home,1,9a7af02b-ef2b-41a2-b2fe-0c033342cef8,3c3ce87a-a387-4e5f-8f15-5aaab537435d,1.1159450450000001,1929,2042,4,79.42256299999998,578.4306449763221,11,28,0,4,9,0,0,3,5,1,0,2,5,1,2,18,20,0,7,13,5,0,3,8,5,2,3,23,53,45,33,0.5212825651302606,1,17.624131184259838,19.334724135765818,1,44.9206
248,LeverkusenVSFCHeidenheim_Home,1,f7a1cf4b-6c87-4bbe-9762-25dc35645490,be8e05c8-8672-4f4c-9bb5-d85a8d75accf,0.034799267,2637,2676,1,44.986254,265.8136809220334,6,12,0,0,2,0,0,1,4,0,1,0,5,0,0,0,6,9,0,3,3,6,0,0,0,0,3,18,15,18,8,0.6201429903636929,3,24.4724334711528,19.828280882561103,2,56.242216666666664
249,LeverkusenVSFCHeidenheim_Home,1,7fa0c22a-17d7-4517-964b-6bae5555f56d,640a636a-8e8c-42f7-82e1-02ecd260860b,0.09087387,2697,2703,1,5.771310000000001,31.025300676735007,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,17,22,4,2,2,0.5213049267643143,1,16.961426826773746,23.67016132800009,2,56.652766666666665
250,LeverkusenVSFCHeidenheim_Home,1,052bab71-4157-4598-99c6-b4d22f13e110,ea59d394-aaca-4561-886f-a1d4e511fb0a,0.40078562,2960,2977,1,18.876952,137.69854485687026,5,5,0,0,0,0,0,1,0,0,0,5,3,3,1,2,1,0,0,0,0,0,0,2,0,0,12,22,8,8,4,0.6580645161290323,1,16.34870025414865,29.286782814434773,2,62.15591666666667
251,LeverkusenVSFCHeidenheim_Home,1,d6ce0839-87f8-48c0-9121-87e2d1032310,5a2e4640-6229-425c-84f1-b76ddeaeedd5,0.89116188,3248,3312,2,46.454474000000005,400.6071971656874,9,17,0,5,7,0,0,4,0,3,9,10,0,7,5,0,1,2,3,0,0,0,0,3,4,0,13,23,38,24,25,0.5219491993373827,0,11.900420160649796,39.781895390059795,2,73.97546666666666
252,LeverkusenVSFCHeidenheim_Home,1,3d197463-15e7-4534-941b-998d61b05b41,f84352b5-fbdc-4edb-9d85-56bb1c87e211,0.0521231,3384,3399,1,16.560132999999997,74.08369994741265,4,2,0,0,0,0,0,2,1,3,0,0,0,2,2,0,0,0,1,3,2,0,0,0,0,0,8,19,12,7,5,0.5545815415150512,4,21.10473880435387,22.960382431410935,2,76.26001666666667
253,LeverkusenVSFCHeidenheim_Home,1,00cdf1f5-0fe3-4af6-b303-5d3742c4747b,22a08fd1-a632-44ec-b8fc-70df6425fb7c,0.06466207,3570,3584,1,16.245017999999998,154.154408225108,5,5,0,0,1,0,0,0,0,4,2,2,0,1,1,0,0,0,1,0,0,0,0,2,0,0,9,22,8,7,2,0.6395516992046276,0,19.384787850270637,16.642880822502434,2,81.97363333333334
254,LeverkusenVSFCKöln_Away,0,df860089-0e1c-4262-9f27-c30e8511f4a0,b2670966-ddbc-4b5b-9d61-8f5fd4952332,0.09465459,123,167,1,37.726929999999996,239.65308033851665,10,11,0,0,2,0,0,3,2,3,0,1,3,6,7,3,0,0,3,2,3,0,0,0,5,2,8,23,24,17,14,0.5654733492442323,4,17.51713446885648,27.05680199713264,1,2.9964666666666666
255,LeverkusenVSFCKöln_Away,0,7d827fcc-5473-49e5-ad82-3ce7b969c17b,6ef70de2-d061-48ea-bd93-812446f4085e,0.053792328,831,841,1,7.674911,45.755052806335684,4,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,19,18,6,5,3,0.505232314776057,6,27.969447616998085,16.932469069638856,1,21.609016666666665
